,summary,date
119,"Shares of DXC Technology Co. slid 0.17% to $29.89 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the S&P 500...",2022-07-05
120,"'Minions' and 'Toy Story' are among the most popular and profitable franchises for their respective studios — so why did ""Minions"" soar and ""Lightyear"" flop?
",2022-07-05
121,"""Minions: The Rise of Gru"" generated more than $108 million in ticket sales during its domestic opening weekend.",2022-07-03
122,A publicly traded Starz may look to increase in size by targeting other subscale media and entertainment companies.,2022-06-29
123,A string of solid theatrical performances coupled with a strong slate of upcoming films has left most box office analysts optimistic.,2022-06-29
124,Cerence (CRNC) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,2022-06-27
125,"Shares of DXC Technology Co. rose 6.14% to $32.15 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-06-24
126,DXC Technology Company. (DXC) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-06-24
127,"Shares of DXC Technology Co. slid 0.82% to $30.29 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-06-23
128,"Shares of DXC Technology Co. dropped 0.46% to $30.54 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-06-22
129,"William Nygren's Harris Associates filed its regulatory 13F Form on 5/16. Click here for the latest update on his stake increases, decreases and top holdings.",2022-06-21
130,"Shares of DXC Technology Co. rallied 1.62% to $30.68 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-06-21
131,"Pixar's ""Lightyear"" rocketed to a $51 million domestic opening, the best performance of an animated feature since the pandemic began.",2022-06-19
132,"Shares of DXC Technology Co. advanced 1.48% to $30.19 Friday, on what proved to be an all-around mixed trading session for the stock market, with the S&P 500...",2022-06-17
133,"With its stock down 14% over the past week, it is easy to disregard DXC Technology (NYSE:DXC). However, the company's...",2022-06-17
134,"Shares of DXC Technology Co. slid 8.01% to $29.75 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-06-16
135,"Shares of DXC Technology Co. rose 3.92% to $32.34 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-06-15
136,"Netflix disrupted traditional TV by releasing entire seasons of shows all at once. Now, the model is under scrutiny as the streamer deals with big losses.",2022-06-15
137,"Shares of DXC Technology Co. rallied 3.22% to $31.12 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-06-14
138,"Shares of DXC Technology Co. slid 7.91% to $30.15 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-06-13
139,"""Jurassic World: Dominion"" roared to the top of the domestic box office over the weekend, generating more than $143 million in ticket sales during its debut.",2022-06-12
140,"Staff article entitled August 19th Options Now Available For DXC Technology (DXC), about stock options, from Stock Options Channel.",2022-06-10
