,summary,date
93,"While most Rhode Islanders use less electricity in the winter months, they likely won't see a decrease in their monthly electric bills this winter as they may have noticed in the past. That's because... | July 21, 2022",2022-07-21
94,"In a report released today, Stephen Byr...",2022-07-21
95,Investors are increasingly voting against the election of corporate directors to get companies they see as laggards on climate change to raise their ambitions.,2022-07-21
96,"PPL Corporation (NYSE: PPL) will release consolidated second-quarter 2022 earnings results on Wednesday, Aug. 3.",2022-07-20
97,"In a report issued on July 19, Shelby ...",2022-07-20
98,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
99,"Shares of PPL Corp. advanced 1.51% to $27.53 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",2022-07-15
100,"Ride-related injuries dropped by more than 60% between 2004 and 2019, according to the International Association of Amusement Parks and Attractions.",2022-07-15
101,The RI Attorney General says the 2021 Act on Climate must be considered before the EFSB OKs more natural gas infrastructure.,2022-07-14
102,"Shares of PPL Corp. inched 0.22% higher to $27.12 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-07-14
103,"CNBC obtained a list of nearly 20 corporations and trade groups that RSVP'd to attend a swanky, three-day retreat at the Breakers resort starting Sunday.",2022-07-14
104,"Staff article entitled PPL September 16th Options Begin Trading, about stock options, from Stock Options Channel.",2022-07-14
105,Mizuho analyst Anthony Cr... PPL,2022-07-14
106,"the online investor,PPL,LEN,",2022-07-14
107,"Shares of PPL Corp. slipped 0.66% to $27.06 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-07-13
108,The streamer announced in April that it was planning on rolling out an ad-supported tier after years of resisting the move.,2022-07-13
109,"Shares of PPL Corp. slumped 0.26% to $27.24 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-07-12
110,"""Succession"" tops the 2022 Emmy Award nominations followed by ""Ted Lasso"" and ""The White Lotus.""",2022-07-12
111,The strategic acquisition of Narragansett Electric Company should help PPL expand its operations in the United States. See the outlook for PPL here.,2022-07-12
112,"Moviegoers aren't just returning to cinemas, they are spending more on premium tickets and concessions.",2022-07-11
113,"Shares of PPL Corp. inched 0.48% higher to $27.31 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-07-11
114,,2022-07-11
115,"""Thor: Love and Thunder"" tallied $143 million during its domestic debut, pushing the overall weekend haul to more than $200 million.",2022-07-10
116,"A movie industry panel discusses how it assigns ratings to newly released films, including details about what constitutes an R rating.",2022-07-09
117,"Shares of PPL Corp. sank 0.26% to $27.18 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-07-08
118,"With U.S. stock markets set to open in two hours, (LEVI) was up 3.9% in pre-market trading, and (XPO) was up 3.8%. (RRC), (LNT), and (ONON) were all posting...",2022-07-08
119,"Shares of PPL Corp. inched 0.74% higher to $27.25 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-07-07
120,There is no way to know if we have already hit the bottom of the current bear-market cycle for stocks.,2022-07-07
121,Evercore ISI analyst Durg... PPL,2022-07-07
122,Evercore ISI analyst Durg... PPL,2022-07-07
123,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,2022-07-07
124,"Shares of PPL Corp. inched 0.82% higher to $27.05 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-07-06
125,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-07-06
126,"Ownership Submission FORM 4 Check this box if no longer... | July 6, 2022",2022-07-06
127,"In an era of flagship streaming services like Disney+ and Peacock, Hulu is caught in the middle. ",2022-07-06
128,PPL Electric Utilities is proud to announce it has won a pair of Industry Excellence Awards from Southeastern Electric Exchange (S.E.E.) for innovations in both employee safety processes and supply chain management. The awards were presented at S.E.E.'s annual conference on June 29.,2022-07-05
129,"Shares of PPL Corp. slid 3.35% to $26.83 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the S&P 500 Index...",2022-07-05
130,"Ownership Submission FORM 4 Check this box if no longer... | July 5, 2022",2022-07-05
131,"'Minions' and 'Toy Story' are among the most popular and profitable franchises for their respective studios — so why did ""Minions"" soar and ""Lightyear"" flop?
",2022-07-05
132,A look at the shareholders of PPL Corporation ( NYSE:PPL ) can tell us which group is most powerful. Generally...,2022-07-05
133,"""Minions: The Rise of Gru"" generated more than $108 million in ticket sales during its domestic opening weekend.",2022-07-03
134,"LOUISVILLE - From zip lining across the Amazon to plant more trees to diving to the ocean floor to save the coral reefs and more, a new children's book follows the story of a little lamb on a big... | July 1, 2022",2022-07-01
135,"PROVIDENCE - Summer is in full swing, and hotter temperatures are on the way.And while the holiday weekend will bring lots of backyard barbecues and enjoying the outdoors, it also may mean using... | July 1, 2022",2022-07-01
136,"PROVIDENCE, RI. - Summer is in full swing, and hotter temperatures are on the way. And while the holiday weekend will bring lots of backyard barbecues and enjoying the outdoors, it also may... | June 30, 2022",2022-06-30
137,A publicly traded Starz may look to increase in size by targeting other subscale media and entertainment companies.,2022-06-29
